,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,"Bird Species, Threatened","Fish species, threatened","Plant species (higher), threatened","Mammal species, threatened",Distance to frontier score,Business extent of disclosure index,Ease of doing business index,Depth of credit information index,Private credit bureau coverage (% of adults),Public credit registry coverage (% of adults),Time required to get electricity (days),Time to resolve insolvency (years),Strength of legal rights index,Time required to enforce a contract (days),Time required to register property (days),Procedures to register property (number),Cost of business start-up procedures (%),Time required to start a business (days),Start-up procedures to register a business (number),Time to prepare and pay taxes (hours),Tax payments (number),Total tax rate (% of commercial profits),Time required to build a warehouse (days),Procedures to build a warehouse (number),Proportion of seats held by women in parliaments (%),Number of infant deaths,Number of under-five deaths,Number of neonatal deaths,"Mortality rate, under-5(per 1,000)","Mortality rate, under-5, female(per 1,000)","Mortality rate, under-5, male(per 1,000)","Mortality rate, neonatal(per 1,000)","Improved water source, rural (%)","Improved water source, urban (%)",Improved water source (%),Number of maternal deaths,Lifetime risk of maternal death,Lifetime risk of maternal death (%),Improved sanitation facilities (%),"Improved sanitation facilities, rural (%)","Improved sanitation facilities, urban (%)","Maternal mortality ratio(per 100,000)","Mortality rate, infant, female(per 1,000)","Mortality rate, infant(per 1,000)","Mortality rate, infant, male(per 1,000)"
91,Lebanon,Middle East and Northern Africa,103,4.8389999999999995,0.04337,1.0256399999999999,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,12.0,27.0,5.0,9.0,56.39,9.0,123.0,6.0,0.0,23.9,75.0,3.0,2.0,721.0,34.0,8.0,34.0,15.0,6.0,183.0,20.0,30.3,244.0,18.0,3.125,726.0,835.0,491.0,8.3,7.9,8.6,4.8,99.0,99.0,99.0,13.0,3700.0,0.0272700650371935,80.7,80.7,80.7,15.0,6.8,7.1,7.3
92,Hungary,Central and Eastern Europe,104,4.8,0.061070000000000006,1.12094,1.20215,0.75905,0.32111999999999996,0.02758,0.128,1.24074,13.0,9.0,12.0,2.0,72.57,2.0,42.0,5.0,88.6,0.0,252.0,2.0,10.0,395.0,16.5,4.0,7.3,5.0,4.0,277.0,11.0,48.4,179.0,23.0,10.1010101010101,461.0,518.0,304.0,5.9,5.4,6.4,3.5,100.0,100.0,100.0,15.0,4400.0,0.0228129148630104,98.0,98.6,97.8,17.0,4.9,5.3,5.7
93,Honduras,Latin America and Caribbean,105,4.788,0.056479999999999995,0.59532,0.9534799999999999,0.6951,0.40148,0.06825,0.23026999999999997,1.84408,11.0,42.0,121.0,8.0,58.06,3.0,110.0,8.0,36.2,22.2,39.0,3.8,9.0,920.0,22.0,6.0,38.7,14.0,12.0,224.0,48.0,44.3,82.0,15.0,25.78125,2832.0,3333.0,1787.0,20.4,18.1,22.6,11.0,83.8,97.4,91.2,220.0,300.0,0.3369169001031469,82.6,77.7,86.7,129.0,15.4,17.4,19.3
94,Tajikistan,Central and Eastern Europe,106,4.7860000000000005,0.03198,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974,2.1139900000000003,15.0,5.0,12.0,6.0,54.19,8.0,132.0,7.0,15.9,0.0,133.0,1.7,1.0,430.0,37.0,6.0,21.5,11.0,4.0,276.0,28.0,81.8,242.0,27.0,19.047619047618998,10293.0,11799.0,5494.0,44.8,39.7,49.7,20.5,66.7,93.1,73.8,82.0,790.0,0.12713745806908,95.0,95.5,93.8,32.0,33.9,38.5,42.9
95,Tunisia,Middle East and Northern Africa,107,4.739,0.03589,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,10.0,39.0,7.0,13.0,64.88,4.0,74.0,5.0,0.0,28.9,65.0,1.3,2.0,565.0,39.0,4.0,3.9,11.0,10.0,144.0,8.0,59.9,93.0,17.0,31.3364055299539,2546.0,2919.0,1724.0,14.0,12.7,15.3,8.2,93.2,100.0,97.7,130.0,710.0,0.140912438900575,91.6,79.8,97.4,62.0,10.9,12.1,13.3
96,Bangladesh,Southern Asia,109,4.694,0.03077,0.39753,0.43106000000000005,0.60164,0.4082,0.12569,0.21222,2.51767,33.0,21.0,21.0,33.0,43.1,6.0,174.0,0.0,0.0,0.9,428.9,4.0,6.0,1442.0,244.0,8.0,13.9,19.5,9.0,302.0,21.0,31.6,269.0,13.4,20.0,97478.0,119326.0,74378.0,37.6,34.7,40.4,23.3,87.0,86.5,86.9,5500.0,240.0,0.421170638324937,60.6,62.1,57.7,176.0,28.0,30.7,33.3
97,Ukraine,Central and Eastern Europe,111,4.681,0.04412,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,18.0,24.0,19.0,9.0,63.04,4.0,83.0,7.0,36.7,0.0,263.0,2.9,8.0,378.0,23.0,7.0,0.6,7.0,4.0,350.0,5.0,52.2,67.0,10.0,11.848341232227499,3331.0,3997.0,2378.0,9.0,8.1,9.9,5.5,97.8,95.5,96.2,120.0,2600.0,0.037862152311881,95.9,92.6,97.4,24.0,6.9,7.7,8.5
98,Iraq,Middle East and Northern Africa,112,4.677,0.052320000000000005,0.98549,0.81889,0.60237,0.0,0.13788,0.17922000000000002,1.95335,19.0,17.0,1.0,13.0,46.06,4.0,161.0,0.0,0.0,0.0,77.0,,1.0,520.0,51.0,5.0,39.8,29.0,10.0,312.0,14.0,27.8,249.0,12.0,26.524390243902396,32258.0,38682.0,22482.0,32.0,28.9,34.9,18.4,70.1,93.8,86.6,620.0,420.0,0.24056475447637696,85.6,83.8,86.4,50.0,23.8,26.5,29.0
99,South Africa,Sub-Saharan Africa,113,4.6419999999999995,0.04585,0.9204899999999999,1.18468,0.27688,0.33207,0.08884,0.11972999999999999,1.7195599999999998,46.0,103.0,116.0,25.0,64.89,8.0,73.0,7.0,62.0,0.0,226.0,2.0,5.0,600.0,23.0,7.0,0.3,46.0,6.0,200.0,7.0,28.8,141.0,19.0,41.9191919191919,34078.0,41930.0,11141.0,40.5,37.3,46.5,11.0,81.4,99.6,93.2,1500.0,300.0,0.333630207691807,66.4,60.5,69.6,138.0,28.8,33.6,36.2
100,Ghana,Sub-Saharan Africa,114,4.633,0.04742,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.04355,0.23087,2.30919,20.0,56.0,119.0,20.0,57.69,7.0,114.0,6.0,16.3,0.0,79.0,1.9,7.0,710.0,46.0,5.0,19.4,14.0,8.0,224.0,33.0,32.7,216.0,15.0,10.909090909090901,38211.0,54061.0,25402.0,61.6,56.2,66.7,28.3,84.0,92.6,88.7,2800.0,74.0,1.34487920620275,14.9,8.6,20.2,319.0,38.2,42.8,47.1
101,Zimbabwe,Sub-Saharan Africa,115,4.61,0.0429,0.271,1.0327600000000001,0.33475,0.25861,0.08079,0.18987,2.44191,17.0,3.0,17.0,10.0,48.17,8.0,155.0,5.0,32.1,0.0,106.0,3.3,5.0,410.0,36.0,5.0,112.0,90.0,9.0,242.0,49.0,32.8,448.0,10.0,31.4814814814815,25398.0,38087.0,12836.0,70.7,64.9,76.1,23.5,67.3,97.0,76.9,2400.0,52.0,1.93896426086029,36.8,30.8,49.3,443.0,41.2,46.6,51.8
102,Liberia,Sub-Saharan Africa,116,4.571000000000001,0.11068,0.0712,0.78968,0.34201,0.28531,0.06232000000000001,0.24361999999999998,2.7772900000000003,13.0,62.0,50.0,24.0,40.19,4.0,179.0,0.0,0.0,1.8,465.0,3.0,8.0,1280.0,44.0,10.0,16.8,4.5,4.0,139.5,33.0,47.8,74.0,22.0,10.958904109589,7974.0,10509.0,3644.0,69.9,64.8,74.7,24.1,62.6,88.6,75.6,1100.0,28.0,3.55258818700446,16.9,5.9,28.0,725.0,48.2,52.8,57.2
103,India,Southern Asia,117,4.565,0.02043,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2.27513,84.0,216.0,385.0,93.0,54.68,7.0,130.0,7.0,22.0,0.0,90.1,4.3,6.0,1420.0,47.0,7.0,13.5,29.0,12.9,243.0,33.0,60.6,191.5,33.6,11.970534069981596,946304.0,1200998.0,695852.0,47.7,49.2,46.3,27.7,92.6,97.1,94.1,45000.0,220.0,0.45279253055489704,39.6,28.5,62.6,174.0,38.0,37.9,37.8
104,Sudan,Sub-Saharan Africa,118,4.55,0.0674,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,23.0,22.0,16.0,12.0,46.97,0.0,159.0,0.0,1.5,0.0,70.0,2.0,3.0,810.0,9.0,6.0,14.8,36.0,10.0,180.0,42.0,45.4,270.0,15.0,30.516431924882607,61285.0,89488.0,38567.0,70.1,65.1,74.8,29.8,,,,4100.0,72.0,1.38887986214656,,,,311.0,42.8,47.6,52.0
105,Haiti,Latin America and Caribbean,119,4.518,0.07331,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,14.0,30.0,42.0,5.0,39.56,2.0,182.0,0.0,0.0,1.6,60.0,,2.0,530.0,312.0,5.0,235.3,97.0,12.0,184.0,47.0,40.3,80.0,12.0,4.21052631578947,13407.0,17841.0,6537.0,69.0,63.1,74.6,25.4,47.6,64.9,57.7,950.0,90.0,1.1061946324324399,27.6,19.2,33.6,359.0,47.0,52.2,57.3
106,Nepal,Southern Asia,121,4.513999999999999,0.03607,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997,1.9563700000000002,36.0,7.0,17.0,31.0,60.41,6.0,99.0,0.0,1.3,0.0,70.0,2.0,6.0,910.0,5.0,3.0,28.4,17.0,7.0,334.0,34.0,29.5,86.0,10.0,29.5492487479132,16144.0,19900.0,12252.0,35.8,33.6,37.9,22.2,91.8,90.9,91.6,1500.0,150.0,0.647685537723153,45.8,43.5,56.0,258.0,27.0,29.4,31.7
107,Ethiopia,Sub-Saharan Africa,122,4.512,0.0378,0.19072999999999998,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,32.0,14.0,41.0,33.0,49.73,3.0,146.0,0.0,0.0,0.2,95.0,3.0,3.0,530.0,52.0,7.0,76.1,19.0,11.0,306.0,30.0,32.1,129.0,10.0,,129947.0,184186.0,87414.0,59.2,53.6,64.5,27.7,48.6,93.1,57.3,11000.0,64.0,1.55595120961611,28.0,28.2,27.2,353.0,36.3,41.4,46.3
108,Sierra Leone,Sub-Saharan Africa,123,4.507,0.07067999999999999,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.08786000000000001,0.21488000000000002,2.51009,15.0,56.0,62.0,22.0,49.69,6.0,147.0,0.0,0.0,1.2,82.0,2.3,5.0,515.0,56.0,7.0,44.2,10.0,6.0,344.0,34.0,31.0,166.0,16.0,12.396694214876002,19014.0,26466.0,7615.0,120.4,113.1,127.3,34.9,47.8,84.9,62.6,3100.0,17.0,5.93782378973531,13.3,6.9,22.8,1360.0,80.5,87.1,93.2
109,Mauritania,Sub-Saharan Africa,124,4.436,0.03947,0.45407,0.86908,0.35874,0.24231999999999998,0.17461,0.21899999999999997,2.11773,15.0,43.0,0.0,16.0,44.74,6.0,168.0,2.0,0.0,6.1,70.0,,2.0,370.0,49.0,4.0,18.5,8.0,6.0,734.0,49.0,71.3,104.0,13.0,25.1700680272109,8523.0,11050.0,4695.0,84.7,79.5,95.8,35.7,57.1,58.4,57.9,810.0,36.0,2.7440057817808903,40.0,13.8,57.5,602.0,58.7,65.1,73.4
110,Kenya,Sub-Saharan Africa,125,4.419,0.04734,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,39.0,70.0,222.0,30.0,58.24,3.0,108.0,7.0,14.3,0.0,110.0,4.5,7.0,465.0,61.0,9.0,35.3,26.0,11.0,201.5,30.0,37.1,146.0,15.0,19.7142857142857,53749.0,74429.0,33741.0,49.4,45.2,53.4,22.2,56.8,81.6,63.2,8000.0,42.0,2.353192765234,30.1,29.7,31.2,510.0,32.0,35.5,38.8
111,Djibouti,Sub-Saharan Africa,126,4.369,0.08096,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,11.0,18.0,3.0,6.0,44.25,4.0,171.0,0.0,0.0,0.4,125.0,2.3,1.0,1225.0,39.0,6.0,168.1,14.0,7.0,82.0,36.0,37.6,111.0,17.0,12.727272727272696,1190.0,1429.0,737.0,65.3,59.3,71.1,33.4,64.7,97.4,90.0,50.0,140.0,0.6980125000686128,47.4,5.1,59.8,229.0,49.1,54.2,59.2
112,Armenia,Central and Eastern Europe,127,4.35,0.04763,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873,15.0,3.0,71.0,8.0,74.22,5.0,35.0,8.0,94.1,0.0,180.0,1.9,5.0,570.0,7.0,3.0,1.0,3.0,2.0,313.0,10.0,19.9,84.0,18.0,10.6870229007634,513.0,577.0,301.0,14.1,12.5,15.6,7.4,100.0,100.0,100.0,10.0,2300.0,0.0426649319269288,89.5,78.2,96.2,25.0,11.1,12.6,13.9
113,Botswana,Sub-Saharan Africa,128,4.332,0.049339999999999995,0.99355,1.10464,0.047760000000000004,0.49495,0.12474,0.10461,1.46181,13.0,2.0,2.0,8.0,64.98,7.0,72.0,6.0,51.1,0.0,77.0,1.7,5.0,625.0,12.0,4.0,0.7,48.0,9.0,152.0,34.0,25.1,110.0,19.0,9.52380952380952,2007.0,2488.0,1268.0,43.6,39.8,47.2,21.9,92.3,99.2,96.2,72.0,270.0,0.3748789292849021,63.4,43.1,78.5,129.0,31.5,34.8,37.9
114,Myanmar,Southeastern Asia,129,4.3069999999999995,0.04351,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.19034,0.79588,1.41805,48.0,43.0,61.0,46.0,45.27,3.0,167.0,0.0,0.0,0.0,77.0,5.0,2.0,1160.0,85.0,6.0,97.1,13.0,11.0,188.0,31.0,31.4,95.0,14.0,6.19047619047619,36176.0,46284.0,24302.0,50.0,44.9,54.9,26.4,74.4,92.7,80.6,1700.0,260.0,0.384770651869194,79.6,77.1,84.3,178.0,34.9,39.5,43.8
115,Georgia,Central and Eastern Europe,130,4.297,0.042210000000000004,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.38331,0.055470000000000005,1.59541,15.0,11.0,61.0,8.0,77.45,9.0,24.0,8.0,74.5,0.0,71.0,2.0,9.0,285.0,1.0,1.0,3.1,2.0,2.0,362.0,5.0,16.4,48.0,7.0,11.333333333333302,601.0,673.0,408.0,11.9,10.5,13.3,7.2,100.0,100.0,100.0,19.0,1500.0,0.0677023774558366,86.3,75.9,95.2,36.0,9.3,10.6,11.9
116,Malawi,Sub-Saharan Africa,131,4.292,0.0613,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2.8079099999999997,18.0,98.0,25.0,8.0,51.03,4.0,141.0,0.0,0.0,0.0,127.0,2.6,5.0,432.0,69.0,6.0,84.6,38.0,8.0,174.5,35.0,34.5,153.0,13.0,16.6666666666667,27260.0,40048.0,13720.0,64.0,59.5,68.3,21.8,89.1,95.7,90.2,4200.0,29.0,3.4524141867199396,41.0,39.8,47.3,634.0,39.6,43.4,47.0
117,Sri Lanka,Southern Asia,132,4.271,0.03751,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828000000000003,0.67108,16.0,46.0,291.0,30.0,58.96,6.0,107.0,6.0,50.3,0.0,100.0,1.7,3.0,1318.0,51.0,9.0,18.7,10.0,8.0,167.0,47.0,55.2,116.0,12.0,5.77777777777778,2620.0,3091.0,1683.0,9.8,8.8,10.7,5.4,95.0,98.5,95.6,98.0,1600.0,0.0634978920148956,95.1,96.7,88.1,30.0,7.5,8.4,9.2
118,Cameroon,Sub-Saharan Africa,133,4.252,0.04678,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003,1.95071,26.0,119.0,490.0,43.0,44.11,7.0,172.0,1.0,0.0,6.5,64.0,2.8,6.0,800.0,86.0,5.0,32.7,15.0,5.0,630.0,44.0,48.8,150.0,15.0,31.11111111111111,46762.0,71348.0,21071.0,87.9,81.7,93.5,25.7,52.7,94.8,75.6,5100.0,35.0,2.88839261775741,45.8,26.8,61.8,596.0,51.4,57.1,62.4
119,Bulgaria,Central and Eastern Europe,134,4.218,0.04828,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,18.0,22.0,6.0,7.0,73.72,10.0,38.0,5.0,0.0,64.7,130.0,3.3,9.0,564.0,11.0,8.0,0.7,18.0,4.0,423.0,14.0,27.0,110.0,16.0,20.4166666666667,557.0,634.0,335.0,10.4,9.3,11.5,5.6,99.0,99.6,99.4,7.0,6200.0,0.0161819666750275,86.0,83.7,86.8,11.0,8.3,9.3,10.3
120,Angola,Sub-Saharan Africa,137,4.033,0.047580000000000004,0.75778,0.8604,0.16683,0.10384000000000002,0.07122,0.12344000000000001,1.9493900000000002,26.0,50.0,34.0,17.0,39.64,4.0,181.0,0.0,0.0,3.3,145.0,,1.0,1296.0,190.0,7.0,22.5,36.0,8.0,282.0,30.0,48.4,203.0,10.0,36.8181818181818,104291.0,169310.0,53164.0,156.9,148.9,164.6,48.7,28.2,75.4,49.0,5400.0,32.0,3.08488586514674,51.6,22.5,88.6,477.0,87.9,96.0,103.7
121,Mali,Sub-Saharan Africa,138,3.995,0.05602000000000001,0.26074,1.03526,0.20583,0.38856999999999997,0.12352,0.18798,1.79293,16.0,2.0,8.0,12.0,50.81,7.0,143.0,0.0,0.0,0.1,120.0,3.6,6.0,620.0,29.0,5.0,71.3,8.5,5.0,270.0,35.0,48.3,124.0,13.0,8.84353741496599,53880.0,82710.0,27439.0,114.7,108.4,120.4,37.8,64.1,96.5,77.0,4400.0,27.0,3.74089087682092,24.7,16.1,37.5,587.0,68.2,74.5,80.4
122,Comoros,Sub-Saharan Africa,140,3.9560000000000004,0.04797,0.23906,0.79273,0.36315,0.22916999999999998,0.19899999999999998,0.17440999999999998,1.95812,10.0,8.0,7.0,5.0,48.22,7.0,154.0,2.0,0.0,7.4,120.0,,6.0,506.0,30.0,4.0,118.2,15.0,8.0,100.0,33.0,216.5,108.0,10.0,3.03030303030303,1433.0,1897.0,889.0,73.5,67.8,79.0,34.0,89.1,92.6,90.1,88.0,66.0,1.51743712608214,35.8,30.9,48.3,335.0,50.1,55.1,60.0
123,Uganda,Sub-Saharan Africa,141,3.931,0.04317,0.21101999999999999,1.13299,0.33860999999999997,0.45726999999999995,0.07267,0.29066,1.42766,25.0,61.0,52.0,27.0,56.64,3.0,122.0,7.0,5.3,0.0,86.0,2.2,6.0,490.0,42.0,10.0,39.7,27.0,15.0,209.0,31.0,36.5,159.0,18.0,34.9740932642487,59856.0,85291.0,29738.0,54.6,49.1,59.9,18.7,75.8,95.5,79.0,5700.0,47.0,2.1283034635971,19.1,17.3,28.5,343.0,33.7,37.7,41.6
124,Senegal,Sub-Saharan Africa,142,3.904,0.03608,0.36498,0.97619,0.4354,0.36772,0.10712999999999999,0.20843000000000003,1.44395,16.0,54.0,11.0,17.0,48.57,7.0,153.0,0.0,0.0,0.5,81.0,3.0,6.0,740.0,71.0,5.0,63.7,6.0,4.0,620.0,58.0,47.3,200.0,13.0,42.6666666666667,24123.0,27059.0,12055.0,47.2,44.3,54.0,20.8,67.3,92.9,78.5,1800.0,61.0,1.63320028488616,47.6,33.8,65.4,315.0,37.8,41.7,46.5
125,Gabon,Sub-Saharan Africa,143,3.8960000000000004,0.04547,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.06822,0.99895,6.0,71.0,154.0,19.0,45.99,7.0,162.0,2.0,0.0,52.0,148.0,5.0,6.0,1070.0,103.0,6.0,15.1,50.0,7.0,488.0,26.0,45.7,329.0,12.0,14.166666666666698,1852.0,2579.0,1195.0,50.8,45.8,55.3,23.2,66.7,97.2,93.2,150.0,85.0,1.1739566867250901,41.9,31.5,43.4,291.0,31.6,36.1,40.2
126,Niger,Sub-Saharan Africa,144,3.845,0.036019999999999996,0.0694,0.77265,0.29707,0.47691999999999996,0.15639,0.19387000000000001,1.87877,11.0,4.0,3.0,12.0,46.37,7.0,160.0,0.0,0.0,0.3,115.0,5.0,6.0,545.0,35.0,4.0,67.8,15.0,6.0,270.0,41.0,48.2,112.0,15.0,13.274336283185804,54226.0,87967.0,25495.0,95.5,90.9,99.8,26.8,48.6,100.0,58.2,5400.0,23.0,4.36993037066367,10.9,4.6,37.9,553.0,52.1,57.1,61.8
127,Cambodia,Southeastern Asia,145,3.819,0.05069,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,27.0,44.0,36.0,36.0,55.22,5.0,127.0,5.0,37.0,0.0,179.0,6.0,11.0,483.0,56.0,7.0,78.7,87.0,7.0,173.0,40.0,21.0,652.0,20.0,20.325203252032498,8759.0,10257.0,5282.0,28.7,25.2,32.0,14.8,69.1,100.0,75.5,590.0,210.0,0.47297294649920396,42.4,30.5,88.1,161.0,21.5,24.6,27.6
128,Tanzania,Sub-Saharan Africa,146,3.781,0.05061,0.2852,1.00268,0.38215,0.32878,0.05747000000000001,0.34376999999999996,1.38079,47.0,175.0,602.0,38.0,51.62,2.0,139.0,0.0,4.97,0.0,109.0,3.0,5.0,515.0,67.0,8.0,18.0,26.0,9.0,179.0,49.0,43.9,205.0,18.0,36.0,72069.0,98180.0,38575.0,48.7,45.0,52.1,18.8,45.5,77.2,55.6,8200.0,45.0,2.20240526714101,15.6,8.3,31.3,398.0,32.3,35.2,37.8
129,Madagascar,Sub-Saharan Africa,147,3.681,0.03633,0.20824,0.66801,0.46721,0.19184,0.08123999999999999,0.21333000000000002,1.851,35.0,87.0,540.0,119.0,45.68,7.0,164.0,0.0,0.0,3.0,450.0,3.0,3.0,871.0,100.0,6.0,43.7,13.0,9.0,183.0,23.0,38.1,185.0,15.0,20.5298013245033,29429.0,40075.0,16189.0,49.6,45.3,53.6,19.7,35.3,81.6,51.5,2900.0,60.0,1.66981789789433,12.0,8.7,18.0,353.0,32.3,35.9,39.3
130,Central African Republic,Sub-Saharan Africa,148,3.678,0.06112000000000001,0.0785,0.0,0.06699,0.48878999999999995,0.08288999999999999,0.23835,2.7223,14.0,3.0,24.0,13.0,36.26,7.0,185.0,0.0,0.0,3.3,98.0,4.8,6.0,660.0,75.0,5.0,204.0,22.0,10.0,483.0,56.0,73.3,200.0,15.0,,14981.0,21029.0,6993.0,130.1,123.2,136.6,42.6,54.4,89.6,68.5,1400.0,27.0,3.6683426807707797,21.8,7.2,43.6,882.0,84.0,91.5,98.5
131,Chad,Sub-Saharan Africa,149,3.667,0.0383,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.9429599999999998,13.0,1.0,6.0,14.0,38.22,7.0,183.0,0.0,0.0,2.4,67.0,4.0,6.0,743.0,44.0,6.0,150.4,60.0,9.0,732.0,54.0,63.5,221.0,13.0,14.8936170212766,51335.0,82728.0,23789.0,138.7,131.4,145.6,39.3,44.8,71.8,50.8,5400.0,18.0,5.518801588691349,12.1,6.5,31.4,856.0,78.0,85.0,91.8
132,Guinea,Sub-Saharan Africa,150,3.656,0.0359,0.17417,0.46475,0.24009,0.37725,0.12139000000000001,0.28657,1.9917200000000002,19.0,75.0,35.0,25.0,45.54,7.0,165.0,0.0,0.0,0.0,69.0,3.8,6.0,311.0,44.0,6.0,79.0,8.0,6.0,440.0,57.0,68.3,173.0,27.0,21.9298245614035,27757.0,42073.0,14288.0,93.7,88.2,99.0,31.3,67.4,92.7,76.8,3100.0,29.0,3.4621126580278503,20.1,11.8,34.1,679.0,55.3,61.0,66.3
133,Burkina Faso,Sub-Saharan Africa,152,3.5869999999999997,0.04324,0.25811999999999996,0.85188,0.27125,0.39493,0.12832000000000002,0.21746999999999997,1.46494,11.0,4.0,3.0,9.0,50.81,7.0,143.0,0.0,0.0,0.3,158.0,4.0,6.0,446.0,67.0,4.0,43.5,13.0,3.0,270.0,45.0,41.3,129.0,12.0,13.333333333333302,41810.0,60477.0,18346.0,88.6,83.4,93.7,26.7,75.8,97.5,82.3,2700.0,48.0,2.0701273348727303,19.7,6.7,50.4,371.0,55.6,60.9,66.0
134,Afghanistan,Southern Asia,153,3.575,0.03084,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,1.9521,17.0,5.0,5.0,10.0,40.58,1.0,177.0,0.0,0.0,0.5,114.0,2.0,9.0,1642.0,250.0,9.0,19.0,7.0,3.0,275.0,20.0,36.3,353.0,11.0,27.710843373494,67399.0,94261.0,36242.0,91.1,87.4,94.6,35.5,47.0,78.2,55.3,4300.0,52.0,1.92613064033961,31.9,27.0,45.1,396.0,62.1,66.3,70.3
135,Rwanda,Sub-Saharan Africa,154,3.465,0.03464,0.22208000000000003,0.7737,0.42863999999999997,0.59201,0.55191,0.22628,0.67042,16.0,9.0,8.0,23.0,68.12,7.0,62.0,8.0,18.8,5.4,34.0,2.5,11.0,230.0,32.0,3.0,55.0,5.5,7.0,109.0,25.0,33.0,77.0,11.0,63.75,10445.0,14207.0,6299.0,41.7,37.8,45.4,18.7,71.9,86.6,76.1,1100.0,85.0,1.17884968586362,61.6,62.9,58.5,290.0,27.8,31.1,34.2
136,Benin,Sub-Saharan Africa,155,3.34,0.03656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.6332799999999998,10.0,38.0,17.0,12.0,47.15,7.0,158.0,0.0,0.0,0.6,90.0,4.0,6.0,750.0,120.0,4.0,45.3,12.0,7.0,270.0,57.0,63.3,88.0,13.0,7.228915662650597,24069.0,37092.0,11955.0,99.5,94.6,104.0,31.8,72.1,85.2,77.9,1600.0,51.0,1.9740659316900304,19.7,7.3,35.6,405.0,59.2,64.2,68.9
137,Burundi,Sub-Saharan Africa,157,2.905,0.08657999999999999,0.0153,0.41586999999999996,0.22396,0.1185,0.10062,0.19727,1.83302,13.0,17.0,8.0,12.0,48.82,8.0,152.0,0.0,0.0,4.4,158.0,5.0,2.0,832.0,23.0,5.0,13.4,4.0,3.0,274.0,25.0,40.3,99.0,14.0,30.4761904761905,24956.0,36970.0,13236.0,81.7,75.6,87.5,28.6,73.8,91.1,75.9,3500.0,23.0,4.27294827484083,48.0,48.6,43.8,712.0,48.0,54.1,60.0
138,Togo,Sub-Saharan Africa,158,2.839,0.06727000000000001,0.20868,0.13995,0.28443,0.36453,0.10730999999999999,0.16680999999999999,1.56726,11.0,35.0,12.0,11.0,49.03,7.0,150.0,0.0,0.0,0.5,51.0,3.0,6.0,488.0,288.0,5.0,77.8,10.0,6.0,270.0,50.0,48.5,165.0,12.0,17.5824175824176,13077.0,19512.0,6694.0,78.4,72.1,84.4,26.7,44.2,91.4,63.1,940.0,58.0,1.71769884969413,11.6,2.9,24.7,368.0,46.7,52.3,57.6
