,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,DT.AMT.BLAT.CD,DT.AMT.DLXF.CD,DT.AMT.DPNG.CD,DT.AMT.MLAT.CD,DT.AMT.OFFT.CD,DT.AMT.PBND.CD,DT.AMT.PCBK.CD,DT.AMT.PROP.CD,DT.AMT.PRVT.CD,DT.DIS.BLAT.CD,DT.DIS.DLXF.CD,DT.DIS.MLAT.CD,DT.DIS.OFFT.CD,DT.DIS.PCBK.CD,DT.DIS.PROP.CD,DT.DIS.PRVT.CD,DT.INT.BLAT.CD,DT.INT.DLXF.CD,DT.INT.DPNG.CD,DT.INT.MLAT.CD,DT.INT.OFFT.CD,DT.INT.PBND.CD,DT.INT.PCBK.CD,DT.INT.PROP.CD,DT.INT.PRVT.CD,EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,FB.AST.NPER.ZS,FB.BNK.CAPA.ZS,IC.BUS.DFRN.XQ,IC.BUS.DISC.XQ,IC.BUS.EASE.XQ,IC.CRD.INFO.XQ,IC.CRD.PRVT.ZS,IC.CRD.PUBL.ZS,IC.CUS.DURS.EX,IC.ELC.DURS,IC.ELC.OUTG,IC.ELC.TIME,IC.FRM.BNKS.ZS,IC.FRM.CMPU.ZS,IC.FRM.CORR.ZS,IC.FRM.CRIM.ZS,IC.FRM.DURS,IC.FRM.FEMM.ZS,IC.FRM.FEMO.ZS,IC.FRM.FREG.ZS,IC.FRM.ISOC.ZS,IC.FRM.OUTG.ZS,IC.FRM.TRNG.ZS,IC.GOV.DURS.ZS,IC.ISV.DURS,IC.LGL.CRED.XQ,IC.LGL.DURS,IC.PRP.DURS,IC.PRP.PROC,IC.REG.COST.PC.ZS,IC.REG.DURS,IC.REG.PROC,IC.TAX.DURS,IC.TAX.GIFT.ZS,IC.TAX.LABR.CP.ZS,IC.TAX.METG,IC.TAX.OTHR.CP.ZS,IC.TAX.PAYM,IC.TAX.PRFT.CP.ZS,IC.TAX.TOTL.CP.ZS,IC.WRH.DURS,IC.WRH.PROC,IQ.SCI.MTHD,IQ.SCI.OVRL,IQ.SCI.PRDC,IQ.SCI.SRCE,SG.GEN.PARL.ZS,SH.DTH.IMRT,SH.DTH.MORT,SH.DTH.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NMRT,SH.H2O.SAFE.RU.ZS,SH.H2O.SAFE.UR.ZS,SH.H2O.SAFE.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.STA.ACSN,SH.STA.ACSN.RU,SH.STA.ACSN.UR,SH.STA.MMRT,SI.POV.NAGP,SI.POV.NAHC,SI.POV.RUGP,SI.POV.RUHC,SI.POV.URGP,SI.POV.URHC,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN,SP.HOU.FEMA.ZS
0,Switzerland,Western Europe,1,7.587000000000001,0.03411,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,10.0,2.0,,,76.04,0.0,26.0,6.0,26.1,0.0,,,,39.0,,,,,,,,,,,,,3.0,6.0,390.0,16.0,4.0,2.0,10.0,6.0,63.0,,17.7,,1.8,19.0,9.3,28.8,156.0,13.0,,,,,30.5,291.0,334.0,231.0,3.9,3.6,4.3,2.7,100.0,100.0,100.0,4.0,12400.0,0.00804657373270495,99.9,99.8,99.9,5.0,,,,,,,3.1,3.4,3.6,
1,Iceland,Western Europe,2,7.561,0.048839999999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,16.0,0.0,6.0,,,78.93,7.0,19.0,7.0,100.0,0.0,,,,22.0,,,,,,,,,,,,,1.0,5.0,417.0,3.5,3.0,2.2,4.0,5.0,140.0,,17.7,,2.8,21.0,9.1,29.6,84.0,17.0,,,,,41.2698412698413,7.0,9.0,4.0,2.0,1.8,2.2,0.9,100.0,100.0,100.0,0.0,14600.0,0.00686636619335339,98.8,100.0,98.7,3.0,,,,,,,1.4,1.6,1.7,
2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,18.0,4.0,2.0,4.43922076047566,7.627404730223239,84.4,7.0,3.0,6.0,7.7,0.0,,,,38.0,,,,,,,,,,,,,1.0,8.0,410.0,4.0,3.0,0.2,3.0,4.0,130.0,,3.0,,2.8,10.0,18.7,24.5,64.0,7.0,,,,,37.9888268156425,150.0,187.0,129.0,3.5,3.2,3.9,2.5,100.0,100.0,100.0,4.0,9500.0,0.0105353605844449,99.6,99.6,99.6,6.0,,,,,,,2.6,2.9,3.2,
3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,23.0,14.0,7.0,1.30646310680764,,81.61,7.0,9.0,6.0,100.0,0.0,,,,66.0,,,,,,,,,,,,,0.9,5.0,280.0,3.0,1.0,0.9,4.0,4.0,83.0,,15.9,,0.0,4.0,23.6,39.5,110.5,11.0,,,,,39.644970414201204,122.0,160.0,91.0,2.6,2.3,2.9,1.5,100.0,100.0,100.0,3.0,11500.0,0.0086991588829894,98.1,98.3,98.0,5.0,,,,,,,1.8,2.0,2.2,
4,Canada,North America,5,7.4270000000000005,0.03553,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,42.0,11.0,11.0,0.512870362123833,4.90177629677095,80.07,8.0,14.0,8.0,100.0,0.0,,,,137.0,,,,,,,,,,,,,0.8,9.0,570.0,16.5,6.0,0.4,1.5,2.0,131.0,,12.7,,4.5,8.0,3.9,21.1,249.0,12.0,,,,,25.3289473684211,1587.0,1824.0,1181.0,4.9,4.5,5.3,3.2,99.0,100.0,99.8,27.0,8800.0,0.0113285425503039,99.8,99.0,100.0,7.0,,,,,,,4.0,4.3,4.7,
5,Finland,Western Europe,6,7.406000000000001,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,8.0,1.0,,,81.05,6.0,10.0,6.0,20.5,0.0,,,,42.0,,,,,,,,,,,,,0.9,7.0,375.0,32.0,3.0,1.0,14.0,3.0,93.0,,24.8,,1.3,8.0,11.8,37.9,64.0,15.0,,,,,41.5,110.0,134.0,75.0,2.3,2.1,2.6,1.3,100.0,100.0,100.0,2.0,21700.0,0.00460834695130561,97.6,88.0,99.4,3.0,,,,,,,1.7,1.9,2.1,
6,Netherlands,Western Europe,7,7.377999999999999,0.027989999999999998,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,15.0,3.0,3.0,2.8718318588705403,5.2281937802410186,75.94,4.0,28.0,7.0,78.2,0.0,,,,110.0,,,,,,,,,,,,,1.1,3.0,514.0,2.5,5.0,4.6,4.0,4.0,123.0,,20.2,,0.4,9.0,20.4,41.0,161.0,13.0,,,,,37.3333333333333,576.0,682.0,432.0,3.8,3.4,4.2,2.4,100.0,100.0,100.0,12.0,8700.0,0.0115154643304214,97.7,99.9,97.5,7.0,,,,,,,2.9,3.2,3.5,
7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,15.0,14.0,1.0,1.13595208544383,4.8,81.72,8.0,8.0,5.0,100.0,0.0,,,,52.0,,,,,,,,,,,,,2.0,6.0,321.0,14.0,1.0,0.5,7.0,3.0,122.0,,35.4,,0.6,6.0,13.1,49.1,116.0,7.0,,,,,43.5530085959885,271.0,343.0,181.0,3.0,2.7,3.3,1.6,100.0,100.0,100.0,5.0,12900.0,0.00776987452106635,99.3,99.6,99.3,4.0,,,,,,,2.2,2.4,2.6,
8,New Zealand,Australia and New Zealand,9,7.2860000000000005,0.033710000000000004,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,35.0,23.0,9.0,,,86.79,10.0,2.0,8.0,100.0,0.0,,,,58.0,,,,,,,,,,,,,1.3,12.0,216.0,1.0,2.0,0.3,0.5,1.0,152.0,,2.7,,1.6,8.0,30.0,34.3,93.0,10.0,,,,,31.404958677686,280.0,342.0,184.0,5.7,5.1,6.2,3.1,100.0,100.0,100.0,7.0,4500.0,0.021991303420586004,,,,11.0,,,,,,,4.2,4.7,5.2,
9,Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,111.0,92.0,56.0,1.04898678314164,6.0666606043413305,80.08,8.0,13.0,7.0,100.0,0.0,,,,75.0,,,,,,,,,,,,,1.0,11.0,395.0,4.5,5.0,0.7,2.5,3.0,105.0,,21.1,,0.5,11.0,26.0,47.6,112.0,10.0,,,,,26.6666666666667,896.0,1146.0,657.0,3.8,3.4,4.1,2.2,100.0,100.0,100.0,19.0,8700.0,0.0115212046791266,100.0,100.0,100.0,6.0,,,,,,,2.7,3.0,3.3,
10,Israel,Middle East and Northern Africa,11,7.278,0.0347,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,42.0,0.0,14.0,2.10925840920199,7.16223574404876,70.56,7.0,53.0,7.0,67.5,0.0,,,,102.0,,,,,,,,,,,,,2.0,6.0,975.0,81.0,6.0,3.4,13.0,5.0,235.0,,5.6,,1.4,33.0,23.6,30.6,209.0,15.0,,,,,24.1666666666667,561.0,693.0,368.0,4.0,3.7,4.3,2.1,100.0,100.0,100.0,9.0,6200.0,0.0161864734690459,100.0,100.0,100.0,5.0,,,,,,,3.0,3.2,3.4,
11,Costa Rica,Latin America and Caribbean,12,7.226,0.044539999999999996,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,37062000.0,429280000.0,34871000.0,227938000.0,265000000.0,0.0,101881000.0,27528000.0,129409000.0,82044000.0,811181000.0,610893000.0,692937000.0,26311000.0,3933000.0,30244000.0,6162000.0,446237000.0,19757000.0,44779000.0,50941000.0,295240000.0,79288000.0,1011000.0,375539000.0,23.0,57.0,132.0,10.0,1.59858654888909,9.87653914012603,68.55,2.0,58.0,7.0,100.0,27.5,,,,45.0,,,,,,,,,,,,,3.0,10.0,852.0,19.0,5.0,11.1,24.0,9.0,151.0,,32.2,,6.5,9.0,19.3,58.0,118.0,15.0,80.0,84.44443333333331,93.3333,80.0,33.3333333333333,577.0,663.0,421.0,9.7,8.7,10.6,6.2,91.9,99.6,97.8,18.0,2100.0,0.0476442590364388,94.5,92.3,95.2,25.0,8.8,21.7,11.9,27.9,7.6,19.4,7.6,8.5,9.3,
12,Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,21.0,3.0,3.5252116202155697,6.65211671479462,78.38,5.0,21.0,7.0,52.8,2.2,,,,23.0,,,,,,,,,,,,,1.1,5.0,397.0,20.5,3.0,0.3,22.0,8.0,166.0,,34.3,,0.6,12.0,16.8,51.7,223.0,11.0,,,,,30.60109289617489,239.0,288.0,173.0,3.5,3.2,3.9,2.1,100.0,100.0,100.0,3.0,18200.0,0.0054918176351993605,100.0,100.0,100.0,4.0,,,,,,,2.6,2.9,3.1,
13,Mexico,Latin America and Caribbean,14,7.187,0.041760000000000005,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003,618503000.0,19468336000.0,30000000.0,602324000.0,1220827000.0,14047416000.0,3761439000.0,408654000.0,18217509000.0,179691000.0,1066744000.0,728966000.0,908657000.0,129775000.0,28312000.0,158087000.0,82095000.0,10331232000.0,2180138000.0,133560000.0,215655000.0,7148659000.0,673766000.0,113014000.0,7935439000.0,61.0,179.0,382.0,101.0,2.98147520744947,10.465612478296501,73.72,8.0,38.0,8.0,100.0,0.0,,,,78.9,,,,,,,,,,,,,1.8,10.0,389.0,63.7,6.8,17.9,6.3,6.0,286.0,,,,,6.0,,51.7,86.4,10.5,100.0,92.2222333333333,96.6667,80.0,38.0,26820.0,31278.0,16596.0,13.2,11.9,14.4,7.0,92.1,97.2,96.1,890.0,1100.0,0.0888611041768879,85.2,74.5,88.0,38.0,,,,,,,10.2,11.3,12.4,
14,United States,North America,15,7.119,0.03839,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,247.0,379.0,35.0,1.7137692326689398,11.6281554704828,82.15,7.4,7.0,8.0,100.0,0.0,,,,89.6,,,,,,,,,,,,,1.5,11.0,420.0,15.2,4.4,1.1,5.6,6.0,175.0,,,,,10.6,,43.9,80.6,15.8,,,,,19.399538106235603,21321.0,24923.0,13699.0,6.5,5.9,7.1,3.6,98.2,99.4,99.2,550.0,3800.0,0.0261155611660945,100.0,100.0,100.0,14.0,,,,,,,5.0,5.6,6.1,
15,Brazil,Latin America and Caribbean,16,6.983,0.040760000000000005,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001,2431445000.0,14850462000.0,183784000.0,1505289000.0,3936734000.0,2614520000.0,8090208000.0,25216000.0,10729944000.0,1646213000.0,12320913000.0,1766658000.0,3412871000.0,8243475000.0,1378000.0,8897723000.0,85643000.0,5668100000.0,18253000.0,249950000.0,335593000.0,3342601000.0,1809984000.0,161669000.0,5314254000.0,165.0,85.0,516.0,82.0,3.0658759170467595,9.061161009629812,57.67,5.0,116.0,7.0,79.0,55.1,,,,43.6,,,,,,,,,,,,,4.0,2.0,731.0,31.7,13.6,3.8,83.0,11.0,2600.0,,,,,9.6,,69.2,425.7,18.2,70.0,65.55556666666669,66.6667,60.0,9.94152046783626,46995.0,52415.0,28604.0,16.4,14.9,17.7,8.9,87.0,100.0,98.1,1300.0,1200.0,0.080088381024304,82.8,51.5,88.0,44.0,,,,,,,13.3,14.6,15.8,
16,Luxembourg,Western Europe,17,6.946000000000001,0.03499,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,0.0,,6.5934986344559805,68.31,6.0,61.0,0.0,0.0,0.0,,,,56.0,,,,,,,,,,,,,2.0,3.0,321.0,26.5,7.0,2.0,18.5,6.0,55.0,,15.5,,0.4,23.0,4.2,20.1,157.0,11.0,,,,,28.3333333333333,10.0,13.0,6.0,1.9,1.7,2.0,0.9,100.0,100.0,100.0,1.0,6500.0,0.0154797646652159,97.6,98.5,97.5,10.0,,,,,,,1.3,1.5,1.6,
17,Ireland,Western Europe,18,6.94,0.03676,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,1.9757,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,27.0,3.0,5.0,18.8463052117737,13.346001572195199,79.15,9.0,17.0,7.0,100.0,0.0,,,,85.0,,,,,,,,,,,,,0.4,7.0,650.0,31.5,5.0,0.2,6.0,4.0,82.0,,12.1,,1.4,9.0,12.4,25.9,149.5,10.0,,,,,16.2650602409639,201.0,244.0,154.0,3.6,3.3,3.9,2.3,97.8,97.9,97.9,5.0,6100.0,0.0163693376739088,90.5,92.9,89.1,8.0,,,,,,,2.7,3.0,3.3,
18,Belgium,Western Europe,19,6.937,0.03595,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,1.0,2.0,3.9629992899751496,6.48049059320045,72.5,8.0,43.0,5.0,0.0,96.3,,,,88.0,,,,,,,,,,,,,0.9,4.0,505.0,56.0,8.0,4.8,4.0,3.0,161.0,,49.4,,0.6,11.0,8.4,58.4,212.0,10.0,,,,,39.3333333333333,417.0,522.0,278.0,4.1,3.7,4.6,2.2,100.0,100.0,100.0,9.0,8000.0,0.0125656689169982,99.5,99.4,99.5,7.0,,,,,,,2.9,3.3,3.6,
19,United Arab Emirates,Middle East and Northern Africa,20,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,14.0,0.0,7.0,,,75.1,10.0,31.0,7.0,38.4,7.7,,,,32.0,,,,,,,,,,,,,3.2,2.0,495.0,1.5,2.0,6.2,8.0,6.0,12.0,,14.1,,1.8,4.0,0.0,15.9,43.5,8.0,,,,,17.5,571.0,661.0,339.0,6.8,6.1,7.5,3.5,100.0,99.6,99.6,6.0,7900.0,0.0126547581642024,97.6,95.2,98.0,6.0,,,,,,,5.2,5.9,6.4,
20,United Kingdom,Western Europe,21,6.867000000000001,0.01866,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,1.9699400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,47.0,22.0,5.0,,,82.46,10.0,6.0,8.0,100.0,0.0,,,,79.0,,,,,,,,,,,,,1.0,7.0,437.0,21.5,6.0,0.1,4.5,4.0,110.0,,11.2,,1.6,8.0,19.2,32.0,105.0,9.0,,,,,29.384615384615397,2655.0,3235.0,1820.0,4.2,3.8,4.7,2.4,100.0,100.0,100.0,74.0,5800.0,0.0173432025961854,99.2,99.6,99.1,9.0,,,,,,,3.2,3.5,3.9,
21,Oman,Middle East and Northern Africa,22,6.853,0.05335,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2.4748900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,27.0,6.0,9.0,,,65.4,8.0,70.0,6.0,0.0,23.3,,,,62.0,,,,,,,,,,,,,4.0,1.0,598.0,16.0,2.0,3.2,7.0,5.0,68.0,,11.8,,0.1,14.0,11.0,22.9,157.0,12.0,,,,,1.19047619047619,804.0,935.0,422.0,11.6,10.4,12.6,5.2,86.1,95.5,93.4,14.0,1900.0,0.0539385413233686,96.7,94.7,97.3,17.0,,,,,,,8.9,9.9,10.9,
22,Singapore,Southeastern Asia,24,6.797999999999999,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.8850099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,26.0,58.0,12.0,0.809991697867696,8.81848203059152,87.34,10.0,1.0,7.0,58.6,0.0,,,,31.0,,,,,,,,,,,,,0.8,8.0,150.0,4.5,4.0,0.6,2.5,3.0,83.5,,15.3,,1.1,6.0,2.0,18.4,26.0,10.0,,,,,25.252525252525306,112.0,145.0,53.0,2.7,2.5,2.9,1.0,,100.0,100.0,5.0,8200.0,0.0121255580081734,100.0,,100.0,10.0,,,,,,,1.9,2.1,2.3,
23,Panama,Latin America and Caribbean,25,6.7860000000000005,0.0491,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,19316000.0,622173000.0,0.0,162777000.0,182093000.0,378797000.0,61283000.0,0.0,440080000.0,363000.0,199679000.0,171938000.0,172301000.0,27378000.0,0.0,27378000.0,3378000.0,641462000.0,56200000.0,60534000.0,63912000.0,503150000.0,18200000.0,0.0,521350000.0,22.0,53.0,203.0,16.0,2.01431842379533,10.0905073371786,65.74,4.0,69.0,8.0,60.7,0.0,,,,35.0,,,,,,,,,,,,,2.5,7.0,686.0,22.5,7.0,6.3,6.0,5.0,417.0,,20.0,,4.8,52.0,12.4,37.2,98.0,16.0,60.0,78.8889,96.6667,80.0,19.2982456140351,1097.0,1277.0,721.0,17.0,15.1,18.8,9.6,88.6,97.7,94.7,71.0,420.0,0.23953016807510305,75.0,58.0,83.5,94.0,,,,,,,12.9,14.6,16.2,
24,Germany,Western Europe,26,6.75,0.01848,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,24.0,24.0,4.0,,5.79306805520608,79.87,5.0,15.0,8.0,100.0,1.6,,,,28.0,,,,,,,,,,,,,1.2,6.0,429.0,39.0,5.0,1.8,10.5,9.0,218.0,,21.2,,4.4,9.0,23.2,48.8,96.0,8.0,,,,,36.4500792393027,2140.0,2545.0,1449.0,3.7,3.4,4.1,2.1,100.0,100.0,100.0,42.0,11700.0,0.00852045989664896,99.2,99.0,99.3,6.0,,,,,,,2.8,3.1,3.4,
25,Chile,Latin America and Caribbean,27,6.67,0.057999999999999996,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,23.0,72.0,20.0,1.9751008451230097,7.68122372865113,71.49,8.0,48.0,6.0,11.2,45.1,,,,30.0,,,,,,,,,,,,,3.2,4.0,480.0,28.5,6.0,0.7,5.5,7.0,291.0,,4.0,,2.6,7.0,22.3,28.9,152.0,13.0,90.0,95.55556666666668,96.6667,100.0,15.833333333333302,1636.0,1896.0,1144.0,8.1,7.4,8.7,4.9,93.3,99.7,99.0,52.0,2600.0,0.0391481199687158,99.1,90.9,100.0,22.0,,,,,,,6.4,7.0,7.6,
26,Qatar,Middle East and Northern Africa,28,6.611000000000001,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,12.0,0.0,2.0,,,65.97,5.0,68.0,5.0,0.0,26.5,,,,90.0,,,,,,,,,,,,,2.8,1.0,570.0,13.0,7.0,5.1,8.5,8.0,41.0,,11.3,,0.0,4.0,0.0,11.3,57.0,15.0,,,,,0.0,195.0,226.0,109.0,8.0,7.3,8.7,3.8,100.0,100.0,100.0,3.0,3500.0,0.028673656702082995,98.0,98.0,98.0,13.0,,,,,,,6.2,6.8,7.4,
27,France,Western Europe,29,6.575,0.03512,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,2.21126,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,52.0,41.0,8.0,,,75.96,9.0,27.0,6.0,0.0,45.1,,,,71.0,,,,,,,,,,,,,1.9,4.0,395.0,49.0,8.0,0.8,4.0,5.0,137.0,,53.5,,8.7,8.0,0.5,62.7,183.0,9.0,,,,,26.1698440207972,2747.0,3378.0,1726.0,4.3,3.9,4.8,2.2,100.0,100.0,100.0,66.0,6100.0,0.0165042242125008,98.7,98.9,98.6,8.0,,,,,,,3.2,3.5,3.9,
28,Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,39.0,70.0,40.0,1.9466594385695999,12.6078811564216,56.78,7.0,121.0,8.0,100.0,42.6,,,,92.0,,,,,,,,,,,,,2.8,2.0,590.0,51.5,7.0,9.7,25.0,14.0,405.0,,29.3,,108.1,9.0,0.0,137.4,341.0,21.0,100.0,95.55556666666668,86.6667,100.0,36.1867704280156,8464.0,9513.0,4797.0,12.5,11.3,13.7,6.3,100.0,99.0,99.1,390.0,790.0,0.126378673709558,96.4,98.3,96.2,52.0,,,,,,,10.0,11.1,12.2,
29,Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,15.0,2.0,5.575134131745711,7.2797803268182015,73.95,2.0,36.0,7.0,78.7,6.7,,,,110.0,,,,,,,,,,,,,2.1,7.0,611.0,31.0,4.0,6.7,15.0,8.0,405.0,,38.4,,2.5,8.0,9.5,50.4,247.0,21.0,,,,,20.0,262.0,328.0,168.0,3.4,3.0,3.8,1.8,100.0,100.0,100.0,5.0,14800.0,0.00676675301678951,99.1,99.2,99.1,4.0,,,,,,,2.5,2.8,3.1,
30,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,2.3214200000000003,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,40.0,22.0,10.0,,,61.21,3.0,92.0,8.0,100.0,84.1,,,,48.0,,,,,,,,,,,,,1.8,4.0,725.0,66.0,8.0,22.0,6.5,5.0,277.0,,15.6,,2.6,31.0,23.6,41.8,251.0,21.0,80.0,88.8888666666667,86.6666,100.0,16.161616161616198,419.0,487.0,246.0,10.1,9.1,11.1,5.1,93.9,100.0,99.7,7.0,3300.0,0.0302409612742895,96.4,92.6,96.6,15.0,,,,,,,7.8,8.7,9.5,
