,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,DT.AMT.BLAT.CD,DT.AMT.DLXF.CD,DT.AMT.DPNG.CD,DT.AMT.MLAT.CD,DT.AMT.OFFT.CD,DT.AMT.PBND.CD,DT.AMT.PCBK.CD,DT.AMT.PROP.CD,DT.AMT.PRVT.CD,DT.DIS.BLAT.CD,DT.DIS.DLXF.CD,DT.DIS.MLAT.CD,DT.DIS.OFFT.CD,DT.DIS.PCBK.CD,DT.DIS.PROP.CD,DT.DIS.PRVT.CD,DT.INT.BLAT.CD,DT.INT.DLXF.CD,DT.INT.DPNG.CD,DT.INT.MLAT.CD,DT.INT.OFFT.CD,DT.INT.PBND.CD,DT.INT.PCBK.CD,DT.INT.PROP.CD,DT.INT.PRVT.CD,EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,FB.AST.NPER.ZS,FB.BNK.CAPA.ZS,IC.BUS.DFRN.XQ,IC.BUS.DISC.XQ,IC.BUS.EASE.XQ,IC.CRD.INFO.XQ,IC.CRD.PRVT.ZS,IC.CRD.PUBL.ZS,IC.CUS.DURS.EX,IC.ELC.DURS,IC.ELC.OUTG,IC.ELC.TIME,IC.FRM.BNKS.ZS,IC.FRM.CMPU.ZS,IC.FRM.CORR.ZS,IC.FRM.CRIM.ZS,IC.FRM.DURS,IC.FRM.FEMM.ZS,IC.FRM.FEMO.ZS,IC.FRM.FREG.ZS,IC.FRM.ISOC.ZS,IC.FRM.OUTG.ZS,IC.FRM.TRNG.ZS,IC.GOV.DURS.ZS,IC.ISV.DURS,IC.LGL.CRED.XQ,IC.LGL.DURS,IC.PRP.DURS,IC.PRP.PROC,IC.REG.COST.PC.ZS,IC.REG.DURS,IC.REG.PROC,IC.TAX.DURS,IC.TAX.GIFT.ZS,IC.TAX.LABR.CP.ZS,IC.TAX.METG,IC.TAX.OTHR.CP.ZS,IC.TAX.PAYM,IC.TAX.PRFT.CP.ZS,IC.TAX.TOTL.CP.ZS,IC.WRH.DURS,IC.WRH.PROC,IQ.SCI.MTHD,IQ.SCI.OVRL,IQ.SCI.PRDC,IQ.SCI.SRCE,SG.GEN.PARL.ZS,SH.DTH.IMRT,SH.DTH.MORT,SH.DTH.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NMRT,SH.H2O.SAFE.RU.ZS,SH.H2O.SAFE.UR.ZS,SH.H2O.SAFE.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.STA.ACSN,SH.STA.ACSN.RU,SH.STA.ACSN.UR,SH.STA.MMRT,SI.POV.NAGP,SI.POV.NAHC,SI.POV.RUGP,SI.POV.RUHC,SI.POV.URGP,SI.POV.URHC,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN,SP.HOU.FEMA.ZS
60,Cyprus,Western Europe,67,5.689,0.0558,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,24.0,18.0,5.0,44.837795704276715,9.76585972659828,71.78,8.0,47.0,6.0,67.3,0.0,,,,137.0,,,,,,,,,,,,,1.5,7.0,1100.0,9.0,7.0,12.2,8.0,6.0,145.5,,13.4,,1.7,27.0,9.3,24.4,617.0,8.0,,,,,12.5,32.0,35.0,19.0,2.7,2.5,3.0,1.5,100.0,100.0,100.0,1.0,9400.0,0.0106710874824411,100.0,100.0,100.0,7.0,,,,,,,2.3,2.5,2.7,
61,Algeria,Middle East and Northern Africa,68,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2.43209,156481000.0,229092000.0,0.0,13042000.0,169523000.0,0.0,8523000.0,51046000.0,59569000.0,29678000.0,81867000.0,52110000.0,81788000.0,0.0,79000.0,79000.0,13945000.0,21832000.0,0.0,0.0,13945000.0,0.0,401000.0,7486000.0,7887000.0,14.0,40.0,18.0,13.0,,,45.72,4.0,163.0,0.0,0.0,1.9,,,,180.0,,,,,,,,,,,,,1.3,2.0,630.0,55.0,10.0,10.9,20.0,12.0,385.0,,30.6,,35.5,27.0,6.6,72.7,204.0,17.0,50.0,53.3333666666667,80.0001,30.0,31.6017316017316,20899.0,24269.0,14773.0,25.5,24.0,26.8,15.5,81.8,84.3,83.6,1300.0,240.0,0.419341330359853,87.6,82.2,89.8,140.0,,,,,,,20.5,21.9,23.2,
62,Kosovo,Central and Eastern Europe,69,5.5889999999999995,0.05018,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831,2.76579,1612000.0,19062000.0,0.0,15276000.0,16888000.0,0.0,2174000.0,0.0,2174000.0,17899000.0,46274000.0,16214000.0,34113000.0,12161000.0,0.0,12161000.0,899000.0,5478000.0,0.0,4507000.0,5406000.0,0.0,72000.0,0.0,72000.0,,,,,7.1496858989583885,11.8061893028985,66.22,6.0,66.0,6.0,0.0,95.2,,,,46.0,,,,,,,,,,,,,2.0,8.0,330.0,27.0,6.0,1.1,11.0,5.0,155.0,,5.6,,0.3,32.0,9.3,15.2,152.0,15.0,50.0,40.0,10.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Turkmenistan,Central and Eastern Europe,70,5.547999999999999,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.8698400000000002,32964000.0,32964000.0,0.0,0.0,32964000.0,0.0,0.0,0.0,0.0,3874000.0,25415000.0,21541000.0,25415000.0,0.0,0.0,0.0,4028000.0,4652000.0,0.0,624000.0,4652000.0,0.0,0.0,0.0,0.0,20.0,11.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.3333333333333,40.0,30.0,25.8064516129032,5024.0,5868.0,2581.0,51.4,43.9,58.5,22.6,,,,47.0,940.0,0.10589831047025,,,,42.0,,,,,,,36.8,43.7,50.3,
64,Mauritius,Sub-Saharan Africa,71,5.477,0.07197,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,72890000.0,230651000.0,74497000.0,71488000.0,144378000.0,0.0,11582000.0,194000.0,11776000.0,76224000.0,82513000.0,6289000.0,82513000.0,0.0,0.0,0.0,17056000.0,24346000.0,2055000.0,4319000.0,21375000.0,0.0,916000.0,0.0,916000.0,9.0,18.0,90.0,7.0,5.07540370813816,9.20090867763212,75.05,6.0,32.0,7.0,0.0,82.6,,,,81.0,,,,,,,,,,,,,1.7,6.0,519.0,14.0,4.0,2.0,6.0,5.0,152.0,,7.1,,3.6,8.0,11.7,22.4,156.0,15.0,100.0,93.33336666666668,80.0001,100.0,11.594202898550696,167.0,192.0,119.0,13.5,12.0,15.0,8.4,99.8,99.9,99.9,7.0,1300.0,0.0778929624701718,93.1,92.6,93.9,53.0,,,,,,,10.4,11.8,13.2,
65,Estonia,Central and Eastern Europe,73,5.428999999999999,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,2.0,1.0,1.16831881042875,11.6348607693168,79.49,8.0,16.0,7.0,34.7,0.0,,,,91.0,,,,,,,,,,,,,3.0,7.0,425.0,17.5,3.0,1.3,3.5,3.0,81.0,,39.0,,2.0,8.0,8.4,49.4,102.0,10.0,,,,,23.7623762376238,28.0,37.0,18.0,2.9,2.6,3.2,1.5,99.0,100.0,99.6,1.0,6300.0,0.0158012739204395,97.2,96.6,97.5,9.0,,,,,,,2.1,2.3,2.6,
66,Indonesia,Southeastern Asia,74,5.399,0.025960000000000004,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86399,4035991000.0,13483793000.0,3145400000.0,1378455000.0,5414447000.0,2345000000.0,1101322000.0,1477624000.0,4923947000.0,2365391000.0,9778595000.0,1225395000.0,3590785000.0,658899000.0,2451177000.0,3110076000.0,587348000.0,4991675000.0,276889000.0,293572000.0,880920000.0,3656965000.0,162798000.0,14102000.0,3833866000.0,131.0,150.0,426.0,185.0,2.3217721993276,12.7469095412357,58.12,10.0,109.0,6.0,0.0,48.5,,,,79.0,,,,,,,,,,,,,1.9,5.0,471.0,27.4,5.0,19.9,47.8,13.0,234.0,,,,,54.0,,29.7,210.2,17.0,80.0,84.4444666666667,93.3334,80.0,17.1171171171171,125168.0,147162.0,73921.0,27.2,23.9,30.3,13.5,79.5,94.2,87.4,6400.0,320.0,0.314212197628261,60.8,47.5,72.3,126.0,,,,,,,19.9,22.8,25.6,
67,Vietnam,Southeastern Asia,75,5.36,0.03107,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,2.20173,1093677000.0,2100855000.0,0.0,347484000.0,1441161000.0,13736000.0,623603000.0,22355000.0,659694000.0,4555295000.0,7377850000.0,2257404000.0,6812699000.0,565151000.0,0.0,565151000.0,338201000.0,822262000.0,23238000.0,169489000.0,507690000.0,86787000.0,203671000.0,876000.0,291334000.0,46.0,76.0,199.0,54.0,,,62.1,7.0,90.0,7.0,6.9,41.5,,,,59.0,,,,,,,,,,,,,5.0,7.0,400.0,57.5,5.0,4.9,20.0,10.0,770.0,,24.8,,0.1,30.0,14.5,39.4,166.0,10.0,60.0,82.2222333333333,86.6667,100.0,24.297188755020102,27243.0,34191.0,17927.0,21.7,18.7,24.6,11.4,96.9,99.1,97.6,860.0,870.0,0.11447392276009301,78.0,69.7,94.4,54.0,,,,,,,15.0,17.3,19.6,
68,Turkey,Middle East and Northern Africa,76,5.332000000000001,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,466745000.0,6898602000.0,193535000.0,1341311000.0,1808056000.0,2786900000.0,2027371000.0,82740000.0,4897011000.0,210773000.0,4399562000.0,2258428000.0,2469201000.0,1920828000.0,9533000.0,1930361000.0,93362000.0,5175545000.0,797850000.0,381435000.0,474797000.0,3607269000.0,278972000.0,16657000.0,3902898000.0,20.0,131.0,104.0,16.0,2.72754975020773,10.994272833966699,69.16,9.0,55.0,7.0,0.0,74.9,,,,63.0,,,,,,,,,,,,,4.5,3.0,580.0,7.0,7.0,16.6,7.5,8.0,226.0,,19.9,,3.1,11.0,17.9,40.9,103.0,18.0,90.0,82.2222333333333,86.6667,70.0,14.416058394160599,16325.0,18936.0,9980.0,13.5,12.4,14.6,7.1,100.0,100.0,100.0,210.0,3000.0,0.0337378993915986,94.9,85.5,98.3,16.0,,,,,,,10.6,11.6,12.5,
69,Nigeria,Sub-Saharan Africa,78,5.268,0.04192,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2.89319,0.0,463268000.0,365144000.0,98124000.0,98124000.0,0.0,0.0,0.0,0.0,458910000.0,1525305000.0,1066395000.0,1525305000.0,0.0,0.0,0.0,32320000.0,475639000.0,347061000.0,47508000.0,79828000.0,48750000.0,0.0,0.0,48750000.0,21.0,71.0,198.0,29.0,5.18523389079359,10.3963288543249,44.69,7.0,169.0,6.0,6.7,0.1,,,,181.2,,,,,,,,,,,,,2.0,6.0,509.8,69.6,12.1,31.7,30.8,8.7,907.9,,,,,59.0,,33.3,106.3,16.1,50.0,71.1111,83.3333,80.0,5.55555555555556,484368.0,750111.0,240106.0,108.8,102.3,114.9,34.3,57.3,80.8,68.5,58000.0,22.0,4.50885329432898,29.0,25.4,32.8,814.0,,,,,,,62.9,69.4,75.7,
70,Bhutan,Southern Asia,79,5.252999999999999,0.03225,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,1.63794,183807000.0,200080000.0,0.0,11267000.0,195074000.0,0.0,5006000.0,0.0,5006000.0,401516000.0,418512000.0,16996000.0,418512000.0,0.0,0.0,0.0,58546000.0,66665000.0,0.0,5231000.0,63777000.0,0.0,2888000.0,0.0,2888000.0,20.0,3.0,18.0,26.0,10.1609632165668,17.6307783562477,65.21,4.0,71.0,6.0,23.2,0.0,12.7,21.3,0.4,61.0,32.2,7.2,0.1,1.1,1.2,26.3,43.3,95.2,3.7,3.7,26.0,28.8,,4.0,225.0,77.0,3.0,4.0,15.0,8.0,85.0,0.3,0.0,0.9,1.4,18.0,33.9,35.3,151.0,21.0,50.0,68.8889,86.6667,70.0,8.51063829787234,335.0,414.0,226.0,32.9,29.5,36.2,18.3,100.0,100.0,100.0,20.0,310.0,0.32489297363381603,50.4,33.1,77.9,148.0,,,,,,,24.3,27.2,30.0,
71,Azerbaijan,Central and Eastern Europe,80,5.212000000000001,0.03363,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799,2.00073,87066000.0,422679000.0,0.0,144914000.0,231980000.0,0.0,165855000.0,24844000.0,190699000.0,140887000.0,570976000.0,251890000.0,392777000.0,178199000.0,0.0,178199000.0,7595000.0,88870000.0,0.0,34834000.0,42429000.0,27248000.0,17898000.0,1295000.0,46441000.0,18.0,12.0,42.0,6.0,,,67.8,10.0,63.0,6.0,0.0,33.6,,,,87.0,,,,,,,,,,,,,1.5,2.0,277.0,8.5,3.0,1.2,3.0,2.0,195.0,,24.8,,2.1,7.0,12.9,39.8,203.0,18.0,60.0,67.7778,83.3334,60.0,15.5737704918033,6519.0,7206.0,4267.0,31.7,29.0,34.2,18.2,77.8,94.7,87.0,48.0,1600.0,0.0624985171781498,89.3,86.6,91.6,25.0,,,,,,,25.8,27.9,29.8,
72,Pakistan,Southern Asia,81,5.194,0.03726,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,3.1070900000000004,705206000.0,2182652000.0,0.0,1225148000.0,1930354000.0,0.0,200000000.0,52298000.0,252298000.0,858324000.0,211102499000.0,1445774000.0,2304099000.0,208798400000.0,0.0,208798400000.0,352083000.0,977016000.0,0.0,269319000.0,621402000.0,334134000.0,19122000.0,2358000.0,355614000.0,32.0,36.0,12.0,24.0,12.4477975519979,8.34035694236024,51.69,6.0,138.0,3.0,4.8,6.7,,,,178.3,,,,,,,,,,,,,2.7,3.0,993.2,50.0,6.0,9.4,19.0,10.0,594.0,,,,,47.0,,32.6,250.4,10.0,70.0,75.55556666666669,96.6667,60.0,20.743034055727602,350600.0,431568.0,244746.0,81.1,77.4,84.6,45.5,89.9,93.9,91.4,9700.0,140.0,0.69344409134829,63.5,51.1,83.1,178.0,,,,,,,61.0,65.8,70.3,
73,Jordan,Middle East and Northern Africa,82,5.192,0.045239999999999995,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999,1.8799599999999999,216590000.0,1442834000.0,0.0,471341000.0,687931000.0,750000000.0,3372000.0,1531000.0,754903000.0,166182000.0,244291000.0,73469000.0,239651000.0,4499000.0,141000.0,4640000.0,41658000.0,172018000.0,0.0,55778000.0,97436000.0,74212000.0,76000.0,294000.0,74582000.0,13.0,13.0,1.0,12.0,,,57.84,4.0,113.0,0.0,0.0,2.4,,,,50.0,,,,,,,,,,,,,3.0,0.0,689.0,21.0,7.0,20.7,12.0,7.0,151.0,,14.4,,2.0,25.0,13.1,29.5,63.0,16.0,80.0,74.4444666666667,73.3334,70.0,12.0,3176.0,3670.0,2184.0,17.9,16.9,18.9,10.6,92.3,97.8,96.9,110.0,490.0,0.203553824435187,98.6,98.9,98.6,58.0,,,,,,,14.4,15.4,16.2,
74,Montenegro,Central and Eastern Europe,82,5.192,0.05235,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.14296,0.1614,2.10017,46973000.0,467493000.0,0.0,68569000.0,115542000.0,230628000.0,117145000.0,4178000.0,351951000.0,197121000.0,269835000.0,72714000.0,269835000.0,0.0,0.0,0.0,10561000.0,93109000.0,0.0,12342000.0,22903000.0,49955000.0,19848000.0,403000.0,70206000.0,14.0,32.0,2.0,6.0,16.7,14.246,71.85,5.0,46.0,5.0,0.0,26.4,,,,142.0,,,,,,,,,,,,,1.4,12.0,545.0,69.0,6.0,1.4,10.0,6.0,314.0,,12.8,,0.7,17.0,8.1,21.6,154.0,9.0,50.0,72.2222333333333,76.6667,90.0,17.2839506172839,30.0,33.0,21.0,4.7,4.4,4.9,3.1,99.2,100.0,99.7,1.0,8300.0,0.0120434599757848,95.9,92.2,98.0,7.0,,,,,,,4.1,4.3,4.6,
75,China,Eastern Asia,84,5.14,0.02424,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,1.8604,4655842000.0,11270863000.0,4046846000.0,977069000.0,5632911000.0,0.0,1021416000.0,569690000.0,1591106000.0,824464000.0,13163127000.0,1269677000.0,2094141000.0,1560535000.0,0.0,1560535000.0,1009609000.0,5204436000.0,3237433000.0,461946000.0,1471555000.0,176246000.0,63736000.0,255466000.0,495448000.0,89.0,131.0,568.0,74.0,,,62.93,10.0,84.0,6.0,0.0,89.5,,,,143.2,,,,,,,,,,,,,1.7,4.0,452.8,19.5,4.0,0.7,31.4,11.0,261.0,,,,,9.0,,67.8,244.3,22.0,70.0,70.0,80.0,60.0,23.6228455559311,156450.0,181574.0,93435.0,10.7,10.0,11.3,5.5,93.0,97.5,95.5,4400.0,2400.0,0.0423007617254136,76.5,63.7,86.6,27.0,,,,,,,8.6,9.2,9.8,
76,Zambia,Sub-Saharan Africa,85,5.129,0.06988,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,67311000.0,158140000.0,19214000.0,30215000.0,97526000.0,0.0,0.0,41400000.0,41400000.0,297432000.0,763274000.0,391696000.0,689128000.0,0.0,74139000.0,74139000.0,35654000.0,170737000.0,713000.0,8801000.0,44455000.0,125312000.0,0.0,257000.0,125569000.0,18.0,20.0,20.0,11.0,,,60.5,4.0,97.0,8.0,8.9,0.0,,,,117.0,,,,,,,,,,,,,2.4,7.0,611.0,45.0,5.0,33.6,7.5,6.0,157.0,,10.4,,6.2,26.0,2.0,18.6,208.0,10.0,40.0,60.0000333333333,80.0001,60.0,12.658227848101301,26636.0,38990.0,13188.0,64.0,58.9,68.9,21.4,51.3,85.6,65.4,1400.0,79.0,1.2582492656878999,43.9,35.7,55.6,224.0,,,,,,,39.2,43.3,47.2,
77,Romania,Central and Eastern Europe,86,5.124,0.06607,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,1.9312900000000002,39851000.0,20147802000.0,15619181000.0,2407512000.0,2447363000.0,1821150000.0,255842000.0,4266000.0,2081258000.0,82777000.0,1083454000.0,965506000.0,1048283000.0,35171000.0,0.0,35171000.0,8437000.0,3886785000.0,2577811000.0,345989000.0,354426000.0,935684000.0,18849000.0,15000.0,954548000.0,18.0,22.0,5.0,7.0,13.8549320382781,8.26053109782917,73.78,9.0,37.0,7.0,50.1,15.9,,,,182.0,,,,,,,,,,,,,3.3,10.0,512.0,19.0,8.0,2.0,8.0,5.0,159.0,,30.0,,1.1,14.0,10.9,42.0,257.0,15.0,90.0,82.2222333333333,76.6667,80.0,13.715710723192,1614.0,1882.0,1047.0,11.1,9.9,12.2,6.3,100.0,100.0,100.0,56.0,2300.0,0.0428982038241866,79.1,63.3,92.2,31.0,,,,,,,8.7,9.7,10.7,
78,Serbia,Central and Eastern Europe,87,5.122999999999999,0.048639999999999996,0.92053,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998,2.025,199188000.0,938829000.0,0.0,596255000.0,795443000.0,12931000.0,129042000.0,1413000.0,143386000.0,314931000.0,1472581000.0,980267000.0,1295198000.0,364000.0,177019000.0,177383000.0,96529000.0,634124000.0,70066000.0,77748000.0,174277000.0,335683000.0,52299000.0,1799000.0,389781000.0,13.0,15.0,6.0,6.0,22.78,21.22,68.41,4.0,59.0,7.0,100.0,0.0,,,,131.0,,,,,,,,,,,,,2.0,5.0,635.0,54.0,6.0,6.6,12.0,6.0,244.3,,20.2,,3.5,42.0,16.0,39.7,272.0,18.0,80.0,90.0,90.0,100.0,34.0,547.0,619.0,389.0,6.7,6.0,7.3,4.2,98.9,99.4,99.2,15.0,3900.0,0.0259621357282899,96.4,94.2,98.2,17.0,,,,,,,5.2,5.9,6.5,
79,Portugal,Western Europe,88,5.102,0.04802,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.26462,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,62.0,82.0,12.0,12.2869616501196,8.048998559072631,77.57,6.0,23.0,7.0,16.1,100.0,,,,52.0,,,,,,,,,,,,,2.0,2.0,547.0,1.0,1.0,2.2,2.5,3.0,275.0,,26.8,,0.6,8.0,13.6,41.0,113.0,14.0,,,,,31.304347826087,251.0,304.0,167.0,3.6,3.3,3.9,2.0,100.0,100.0,100.0,8.0,8200.0,0.0122617624531247,99.7,99.8,99.6,10.0,,,,,,,2.7,3.0,3.2,
80,Latvia,Central and Eastern Europe,89,5.098,0.0464,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,1.62215,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,1.0,1.0,4.608338067135049,10.1055478820052,78.06,5.0,22.0,6.0,0.0,80.8,,,,107.0,,,,,,,,,,,,,1.5,9.0,469.0,16.5,4.0,1.5,5.5,4.0,193.0,,26.6,,3.0,7.0,6.3,35.9,165.0,12.0,,,,,18.0,109.0,129.0,82.0,7.9,7.2,8.6,5.2,98.3,99.8,99.3,4.0,3500.0,0.0288391334987705,87.8,81.5,90.8,18.0,,,,,,,6.4,6.9,7.5,
81,Philippines,Southeastern Asia,90,5.073,0.049339999999999995,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,1.7536,699028000.0,1909206000.0,0.0,611380000.0,1310407000.0,409987000.0,161185000.0,27626000.0,598799000.0,738847000.0,2189017000.0,1084951000.0,1823799000.0,289020000.0,76198000.0,365218000.0,141931000.0,1694062000.0,196184000.0,97841000.0,239771000.0,1234929000.0,22118000.0,1059000.0,1258107000.0,89.0,77.0,239.0,39.0,2.1344437483396996,10.638404971079401,60.07,2.0,103.0,5.0,14.0,0.0,,,,42.0,,,,,,,,,,,,,2.7,3.0,842.0,35.0,9.0,16.1,29.0,16.0,193.0,,8.7,,13.9,36.0,20.3,42.9,98.0,24.0,60.0,82.2222,86.6666,100.0,27.2413793103448,52300.0,65613.0,29601.0,28.0,24.7,31.2,12.6,90.3,93.7,91.8,2700.0,280.0,0.35203815044424697,73.9,70.8,77.9,114.0,,,,,,,19.4,22.2,24.9,
82,Morocco,Middle East and Northern Africa,92,5.013,0.0342,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.08546000000000001,0.07172,2.4537299999999997,626353000.0,1918547000.0,0.0,1015280000.0,1641633000.0,0.0,267490000.0,9424000.0,276914000.0,841051000.0,2743747000.0,1331554000.0,2172605000.0,571142000.0,0.0,571142000.0,186513000.0,811843000.0,0.0,222842000.0,409355000.0,271196000.0,129299000.0,1993000.0,402488000.0,15.0,54.0,36.0,16.0,,,64.51,6.0,75.0,6.0,23.4,0.0,,,,57.0,,,,,,,,,,,,,3.5,2.0,510.0,30.0,5.0,9.1,10.0,4.0,211.0,,22.3,,1.4,6.0,25.4,49.1,91.0,13.0,80.0,81.1111333333333,83.3334,80.0,16.9620253164557,17043.0,19759.0,12706.0,27.6,24.7,30.3,17.6,65.3,98.7,85.4,850.0,320.0,0.311359166630691,76.7,65.5,84.1,121.0,,,,,,,21.0,23.7,26.2,
83,Mozambique,Sub-Saharan Africa,94,4.971,0.07896,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,88057000.0,135889000.0,0.0,30780000.0,118837000.0,0.0,10630000.0,6422000.0,17052000.0,581935000.0,1029761000.0,346444000.0,928379000.0,100510000.0,872000.0,101382000.0,70685000.0,148222000.0,0.0,20021000.0,90706000.0,53590000.0,3111000.0,815000.0,57516000.0,29.0,63.0,84.0,13.0,,,53.98,5.0,133.0,4.0,0.0,5.6,,,,91.0,,,,,,,,,,,,,1.5,1.0,950.0,40.0,6.0,15.1,19.0,10.0,217.0,,4.5,,0.8,37.0,30.8,36.1,111.0,10.0,70.0,72.2222333333333,96.6667,50.0,39.6,60138.0,82387.0,28799.0,78.5,73.9,82.9,27.1,37.0,80.6,51.1,5300.0,40.0,2.530774160985,20.5,10.1,42.4,489.0,,,,,,,52.7,56.7,60.5,
84,Albania,Central and Eastern Europe,95,4.959,0.05013,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,1.89894,63421000.0,628276000.0,0.0,156997000.0,220418000.0,364230000.0,37376000.0,6252000.0,407858000.0,137095000.0,350193000.0,157102000.0,294197000.0,40916000.0,15080000.0,55996000.0,10959000.0,67325000.0,0.0,23108000.0,34067000.0,27521000.0,5636000.0,101000.0,33258000.0,10.0,44.0,0.0,3.0,20.9,9.7,60.5,9.0,97.0,6.0,0.0,27.1,,,,177.0,,,,,,,,,,,,,2.0,7.0,525.0,22.0,6.0,10.4,5.5,6.0,357.0,,18.8,,3.6,34.0,14.1,36.5,,,50.0,72.2222333333333,66.6667,100.0,20.7142857142857,564.0,618.0,279.0,14.0,12.5,15.3,6.2,95.2,94.9,95.1,11.0,1900.0,0.0533605376602974,93.2,90.2,95.5,29.0,,,,,,,11.2,12.5,13.7,
85,Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.06913,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002,2.06367,71762000.0,321192000.0,0.0,196965000.0,268727000.0,22582000.0,29883000.0,0.0,52465000.0,98850000.0,491026000.0,309925000.0,408775000.0,10138000.0,72113000.0,82251000.0,14739000.0,55545000.0,0.0,36980000.0,51719000.0,1791000.0,1855000.0,180000.0,3826000.0,8.0,35.0,1.0,4.0,14.069226272831,14.9608871203734,63.71,3.0,79.0,6.0,9.9,38.0,,,,125.0,,,,,,,,,,,,,3.3,7.0,595.0,24.0,7.0,14.8,67.0,12.0,420.0,,13.5,,2.6,45.0,7.2,23.3,179.0,15.0,70.0,67.7778,63.3334,70.0,21.4285714285714,159.0,169.0,124.0,5.4,4.8,5.9,4.0,100.0,99.7,99.9,4.0,6800.0,0.0146235949769799,94.8,92.0,98.9,11.0,,,,,,,4.6,5.1,5.6,
